Li,B,C,Mg,Al,Si,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,Zr,Nb,Mo,Sn,Hf,Ta,W,Phases,HV,Delta,Gamma,Enthalpy of Mixing,Electronegativity,VEC,Configurational Entropy,Weighted Melting Temperature,Yang Parameter,Asymmetry,e/a
0,0,0.074074074,0,0.185185185,0,0,0,0,0.185185185,0,0.185185185,0.185185185,0.185185185,0,0,0,0,0,0,0,0,0,0,BCC + Im,,12.16929417,1.856147432,-23.07270229,0.233101001,6.962962956,14.5858318,1569.503702,0.992190543,0.451015896,1.618148147
0,0,0.090909091,0,0.181818182,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,BCC + Im,,13.17225701,1.859614507,-25.2561984,0.249938836,6.909090916,14.69798669,1605.512729,0.934337161,0.472486228,1.660000002
0,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,BCC + Im,,16.85609557,1.875623318,-33.88888902,0.308040402,6.66666668,14.89751714,1767.553337,0.77701444,0.566713565,1.848333337
0,0,0.230769231,0,0.153846154,0,0,0,0,0.153846154,0,0.153846154,0.153846154,0.153846154,0,0,0,0,0,0,0,0,0,0,BCC + Im,,19.28352212,1.889713254,-39.66863913,0.342019758,6.461538468,14.78505435,1904.664617,0.709895033,0.645823938,2.00769231
0,0,0,0,0.1,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0.1,0,0,0,0,FCC + Im,425,4.881642944,1.169941309,-8.68,0.152581126,7.5,14.53424062,1607.332,2.691399775,0.296892906,1.272
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.1,0.2,0,0,0,0,0,0.1,0,0,0,0,BCC + Im,801,5.929576826,1.168899422,-11.72,0.165239221,6.9,14.53424062,1523.864,1.889778673,0.385401226,1.47
0,0,0,0,0.2,0,0,0,0,0.2,0,0.1,0.2,0.2,0,0,0,0,0,0.1,0,0,0,0,BCC + Im,755,5.875050873,1.168842305,-12.56,0.166640331,7,14.53424062,1519.564,1.758416307,0.385723389,1.468
0,0,0,0,0.196078431,0,0,0,0,0.196078431,0,0.117647059,0.196078431,0.196078431,0,0,0,0,0,0.098039216,0,0,0,0,BCC + Im,754,5.851718793,1.168903904,-12.31833907,0.165019543,7.019607836,14.61094927,1519.925489,1.802804265,0.381743831,1.45980392
0,0,0,0,0.196078431,0,0,0,0,0.196078431,0,0.196078431,0.196078431,0.196078431,0,0,0,0,0,0.019607843,0,0,0,0,BCC,,5.777562954,1.169452821,-12.13379465,0.130599128,7.176470574,13.92164696,1434.827448,1.646241902,0.355986772,1.433137252
0,0,0,0,0.192307692,0,0,0,0,0.192307692,0,0.192307692,0.192307692,0.192307692,0,0,0,0,0,0.038461538,0,0,0,0,BCC + Im,,5.774864726,1.169366879,-11.95266268,0.139188795,7.15384614,14.22238786,1457.67692,1.734479344,0.359852223,1.432307689
0,0,0,0,0.188679245,0,0,0,0,0.188679245,0,0.188679245,0.188679245,0.188679245,0,0,0,0,0,0.056603774,0,0,0,0,BCC + Im,,5.770073851,1.169284279,-11.77643287,0.146647598,7.132075464,14.43271169,1479.66415,1.813415515,0.362883192,1.431509433
0,0,0,0,0.185185185,0,0,0,0,0.185185185,0,0.185185185,0.185185185,0.185185185,0,0,0,0,0,0.074074074,0,0,0,0,BCC + Im,,5.763434847,1.169204829,-11.60493825,0.153191919,7.111111104,14.5858318,1500.837036,1.886348388,0.365219603,1.430740739
0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0.1,0,0,0,0,0,0.1,0,0,0,0,B2 + Im,708,5.903744087,1.168870858,-11.08,0.163587897,6.8,14.53424062,1527.864,2.004182583,0.383627055,1.457
